id,statement,statement_clean,label,label_3class,label_encoded,speaker,party,subject,credibility_score,lie_rate,history_total,is_politician
2635.json,Says the Annies List political group supports third-trimester abortions on demand.,annies list political group supports third trimester abortions demand,false,fake,0,dwayne-bohac,republican,abortion,0.0,1.0,1.0,1
10540.json,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,when decline coal start started when natural gas took off started begin president george bushs administration,half-true,nuanced,1,scott-surovell,democrat,"energy,history,job-accomplishments",1.0,0.0,2.0,1
324.json,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",hillary clinton agrees john mccain voting give george bush benefit doubt iran,mostly-true,real,2,barack-obama,democrat,foreign-policy,0.6829,0.1691,473.0,1
1123.json,Health care reform legislation is likely to mandate free sex change surgeries.,health care reform legislation likely mandate free sex change surgeries,false,fake,0,blog-posting,none,health-care,0.1026,0.8077,78.0,0
9028.json,The economic turnaround started at the end of my term.,economic turnaround started end term,half-true,nuanced,1,charlie-crist,democrat,"economy,jobs",0.6,0.1692,65.0,1
12465.json,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,chicago bears more starting quarterbacks last years than total number tenured faculty fired during last two decades,true,real,2,robin-vos,republican,education,0.6364,0.3636,11.0,1
2342.json,Jim Dunnam has not lived in the district he represents for years now.,jim dunnam not lived district represents years now,barely-true,nuanced,1,republican-party-texas,republican,candidates-biography,0.4444,0.2222,9.0,1
153.json,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",i'm only person stage who worked actively just last year passing along russ feingold some toughest ethics reform since watergate,half-true,nuanced,1,barack-obama,democrat,ethics,0.6829,0.1691,473.0,1
5602.json,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",however took million oregon lottery funds port newport eventually land new noaa marine operations center pacific,half-true,nuanced,1,oregon-lottery,organization,jobs,0.5,0.5,2.0,0
9741.json,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,gop primary opponents glenn grothman joe leibham cast compromise vote cost million higher electricity costs,mostly-true,real,2,duey-stroebel,republican,"energy,message-machine-2014,voting-record",1.0,0.0,1.0,1
